나트륨,탄수화물,당류,식이섬유,지방,단백질,제품명,EPA+DHA,비타민,미네랄,카테고리
200.0,30.0,6.0,1.0,8.0,8.0,그린비아 마일드 케어 구수한 맛,0.0,256.62,838.86,1
160.0,29.0,7.0,2.0,9.5,8.0,그린비아 마일드 케어 검은참깨,0.0,256.62,649.86,1
200.0,30.0,6.0,1.0,8.0,8.0,그린비아 마일드 케어 구수한맛,0.0,256.62,838.86,1
100.0,29.0,5.0,0.6,7.2,7.0,그린비아 플러스 케어,0.0,256.62,579.96,1
190.0,30.0,6.0,1.8,7.0,7.0,그린비아 영양 케어,0.0,256.62,892.86,1
160.0,20.0,1.0,7.0,11.0,10.0,그린비아 당 케어,0.0,354.9,727.9599999999999,1
200.0,26.0,6.0,2.0,7.0,12.5,그린비아 캔서 케어,70.0,269.32000000000005,1006.97,1
180.0,20.0,4.0,0.0,4.1,10.0,그린비아 프로틴 케어 미니,0.0,267.86,671.8199999999999,1
140.0,22.5,4.0,1.3,5.25,5.0,그린비아 영양 케어 미니,0.0,193.5,653.9499999999999,2
300.0,56.0,4.0,6.0,17.8,17.5,화이바 RTH 400,0.0,540.24,1494.9399999999998,2
155.0,43.0,4.0,6.0,20.0,20.0,당뇨식 RTH 400,0.0,541.72,1245.94,2
120.0,21.0,8.0,0.0,13.5,6.0,그린비아 키즈,14.0,253.97,829.5699999999999,2
200.0,25.0,3.0,5.0,9.5,10.0,그린비아 디엠,0.0,251.37000000000003,745.0600000000001,2
100.0,12.0,2.0,2.5,4.8,5.0,그린비아 디엠 1000,0.0,125.66,372.53,2
230.0,22.5,1.0,5.0,10.8,10.0,그린비아 플러스케어 당뇨식,0.0,256.62,763.9599999999999,2
170.0,22.0,1.0,3.0,11.0,10.0,그린비아 당뇨솔루션,0.0,354.9000000000001,841.9599999999999,2
260.0,32.0,1.0,4.5,15.3,15.0,그린비아 당뇨솔루션 RTH,0.0,532.3,1260.14,2
130.0,58.0,1.0,2.0,20.6,8.0,그린비아 알디,0.0,285.22,692.9599999999999,2
160.0,51.0,1.0,2.0,20.6,15.0,그린비아 알디 플러스,0.0,285.22,922.96,2
380.0,80.0,2.0,4.0,27.3,26.0,그린비아 알디 플러스 RTH,0.0,424.0,1439.04,2
170.0,31.0,2.0,4.3,8.0,9.0,그린비아 화이바,0.0,256.62,725.86,2
85.0,15.0,1.0,2.1,3.7,4.0,그린비아 화이바 1000,0.0,128.26,364.93,2
170.0,28.0,1.0,3.0,9.7,9.0,그린비아 플러스 케어 화이바,0.0,338.48,813.16,2
170.0,28.0,1.0,3.0,9.2,9.0,그린비아 장솔루션,0.0,354.9000000000001,826.9599999999999,2
230.0,42.0,1.0,4.5,13.3,13.0,그린비아 장솔루션 알티에이치,0.0,532.3,1250.14,2
400.0,46.0,1.0,0.0,20.0,24.0,그린비아 이뮨포르테 RTH,0.0,558.84,1700.84,2
15.0,0.0,0.0,0.0,0.0,9.0,그린비아 프로틴플러스,0.0,0.0,0.0,2
150.0,34.0,3.0,3.0,6.5,8.0,그린비아 TF,0.0,256.62,671.0600000000001,2
75.0,17.0,1.5,1.5,3.2,4.0,그린비아 TF 1000,0.0,128.26,340.53000000000003,2
160.0,42.0,1.0,2.5,8.5,9.0,그린비아 RTH,0.0,320.14000000000004,864.8100000000001,2
240.0,26.0,5.0,0.0,6.0,13.0,그린비아 고단백 솔루션,0.0,354.9000000000001,892.9599999999999,2
240.0,26.0,5.0,0.0,6.0,13.0,그린비아 고단백 솔루션,0.0,354.9000000000001,892.9599999999999,2
220.0,41.0,1.0,0.0,12.0,13.0,그린비아 1.5,0.0,384.88,835.36,2
